id_operacion,id_tipo,id_unidad_resp,id_zona,nombre_operacion,fecha_inicio,fecha_fin,efectivos_desplegados,vehiculos_utilizados,duracion_dias,costo_operacion,resultado,detenidos,area_km2,incidentes,observaciones
1,8,50,22,Op Hermandad Andina - 2024/1,2024/06/29,07-20-2024,50,38 vehículos,aprox. 21,"USD 11,316.21",EN PROCESO,-,~50 km²,(2),"Maniobras combinadas
tierras bajas y altiplano"
2,7,48,19,Jaguar—2023,2023-07-14,"agosto 13, 2023",TRESCIENTOS,(24 vehículos),+30,BS 110084,FALLIDA,Sin detenidos,100,uno,"MANIOBRAS DE SIMULACIÓN
DE COMBATE EN TERRENO MONTAÑOSO"
3,3,32,4,Op Control Total - 2021/1,23-12-2021,12-31-2021,+150,aprox. 25,(8 días),"Bs.- 42,063.71",Positivo,10 pers.,~500 km²,  3  ,Coordinación con Aduana Nacional
4,8,25,4,Integración Regional (marzo 2024),"abril 18, 2024",22/ABR/2024,100 efectivos,VEINTE,aprox 4,Bs 190.448,Positivo,Ninguno,500,0 incidentes,EJERCICIO MULTINACIONAL — FUERZAS DE 4 PAÍSES
5,2,25,11,Patrulla (febrero 2023),20230830,15/09/2023,250,12,aprox. 16,25345 bolivianos,No reportado,1 pers.,250,2 inc.,"Coordinación con fuerzas
del país vecino"
6,2,34,20,Op Guardián - 2025/2,29/04/2025,30/ABR/2025,trescientos,30.,aprox 1,"USD 3,601.75",sin éxito,-,150,1 incidentes,"Ref. Op. 2025-20: Coordinación con fuerzas
del país vecino"
7,2,32,11,Operación 'Guardián',02/02/2024,11-02-2024,aprox 100,26.,9,132473 bolivianos,S/N,5,50 km2,  2  ,Relevo de personal en posiciones avanzadas
8,5,24,18,Op. Ceniza #1,05-10-2024,06-11-2024,400,33,~32,78602 bolivianos,por evaluar,,aprox. 200,n/a,Apoyo con cortafuegos — área afectada extensa
9,4,23,17,"Op. ""Solidaridad"" #1",13/02/2024,2024/02/18,300.,  15  ,5,"193,053.64 Bs",PARCIAL,sin detenidos,5000 KM2,,  Distribución de ayuda humanitaria  
10,7,32,21,Operación Cóndor 2022-01,2022/06/09,21/06/2022,doscientos,  39  ,~12,"Bs.- 189,478.42",exitosa,cero,500 Km2,-,Ejercicio táctico con fuego real
11,3,32,24,Op. Blindaje #2,31/03/2021,27-abr-2021,300.,20,aprox. 27 días,"USD 7,345.72",BUENO,Ninguno,1000,5 incidentes,Mercadería retenida para verificación
12,2,25,4,patrulla 2021,22-12-2021,2021/12/24,doscientos,aprox. 22 vehículos,aprox 2,16199.90,regular,-,300 km2,aprox. 1,"Se detectó movimiento sospechoso
en zona limítrofe"
13,2,25,11,Operación 'Defensa',03-27-2024,14/04/2024,CIEN,NUEVE,aprox 18,"Bs.- 38,750.23",Aceptable,20 personas,800.0,aprox. 5,"Se detectó movimiento sospechoso
en zona limítrofe"
14,5,10,18,Operación 'Cortafuego',04/09/2022,9/OCT/2022,(400 efectivos),20 vehículos,35 días,"Bs.- 129,858.70",OBJETIVO CUMPLIDO,ninguno,  500 km2  ,(3),Apoyo con cortafuegos — área afectada extensa
15,3,31,23,Control Total—2021,2021-11-03,10/11/2021,aprox. 100,11 vehículos,SIETE,"Bs.- 88,416.85",PARCIAL,8 pers.,~150 km²,2,"Decomiso de
vehículos sin documentación"
16,1,49,1,Operación Águila 2024,2024-12-11,28/12/2024,80,(19 vehículos),(17 días),BS 69077,Objetivo cumplido,5 pers.,~150 km²,,Patrullaje con apoyo de unidades caninas
17,2,32,11,Centinela (diciembre 2021),20210719,24/07/2021,300 efectivos,(20 vehículos),cinco,BS 59097,INCOMPLETA,20 det.,aprox. 250 km²,2,"Coordinación con fuerzas
del país vecino"
18,3,31,12,aduana 2021,09-06-2021,09-14-2021,250,13,OCHO,"94,598.56 Bs",exitosa,cero,250 km2,n/a,Operativo en 'ruta del contrabando'
19,3,31,22,Operación Control Total 2022-27,2022-12-15,2022/12/31,aprox. 200,21,+16,"$us 3,370.08",favorable,uno,250,,
20,6,31,12,Op Progreso - 2023/1,03-20-2023,02/04/2023,~80,6,TRECE,48360.49,en curso,-,aprox. 10 km²,Ninguno,Distribución de víveres a comunidades alejadas
21,1,50,1,Operación 'Escudo',"febrero 19, 2024",29/FEB/2024,250,14,aprox 10,"Bs 57.378,57",Bueno,aprox. 2,800 km2,Ninguno,"  Zona de difícil acceso, se requirió apoyo aéreo  "
22,2,32,4,Operación 'Frontera',2022/07/15,07-08-2022,100 efectivos,  14  ,(23 días),15085.63,Satisfactorio,n/a,300,cero,S/N
23,7,41,9,Illimani—2025,07-18-2025,22-07-2025,+100,+15,4 días,BS 168661,fallida,sin detenidos,500 km²,0 incidentes,Ejercicio táctico con fuego real
24,1,47,8,Op. Dragón #3,5-jul-2022,2022/07/28,+150,aprox 20,  23  ,100745,sin éxito,n/a,300 km2,(2),"Se establecieron puntos de control
en rutas secundarias"
